Lokalizacja,Płeć,Wiek,Populacja
WYSPA SOBIESZEWSKA,kobiety,2,12
WYSPA SOBIESZEWSKA,mężczyźni,2,17
WZGÓRZE MICKIEWICZA,kobiety,2,6
WZGÓRZE MICKIEWICZA,mężczyźni,2,17
ZASPA MŁYNIEC,kobiety,2,46
ZASPA MŁYNIEC,mężczyźni,2,63
ZASPA ROZSTAJE,kobiety,2,61
ZASPA ROZSTAJE,mężczyźni,2,71
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,2,54
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,2,52
GDAŃSK,kobiety,2,2365
GDAŃSK,mężczyźni,2,2512
ANIOŁKI,kobiety,3,20
ANIOŁKI,mężczyźni,3,29
BRĘTOWO,kobiety,3,24
BRĘTOWO,mężczyźni,3,49
BRZEŹNO,kobiety,3,47
BRZEŹNO,mężczyźni,3,38
CHEŁM,kobiety,3,321
CHEŁM,mężczyźni,3,359
JASIEŃ,kobiety,3,204
JASIEŃ,mężczyźni,3,177
KOKOSZKI,kobiety,3,63
KOKOSZKI,mężczyźni,3,74
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,3,3
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,3,8
LETNICA,kobiety,3,0
LETNICA,mężczyźni,3,8
MATARNIA,kobiety,3,35
MATARNIA,mężczyźni,3,37
MŁYNISKA,kobiety,3,6
MŁYNISKA,mężczyźni,3,8
NOWY PORT,kobiety,3,39
NOWY PORT,mężczyźni,3,47
OLIWA,kobiety,3,52
OLIWA,mężczyźni,3,71
OLSZYNKA,kobiety,3,13
OLSZYNKA,mężczyźni,3,19
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,3,62
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,3,70
OSOWA,kobiety,3,86
OSOWA,mężczyźni,3,100
PIECKIIGOWO,kobiety,3,178
PIECKIIGOWO,mężczyźni,3,187
PRZERÓBKA,kobiety,3,18
PRZERÓBKA,mężczyźni,3,16
PRZYMORZE MAŁE,kobiety,3,67
PRZYMORZE MAŁE,mężczyźni,3,71
PRZYMORZE WIELKIE,kobiety,3,86
PRZYMORZE WIELKIE,mężczyźni,3,105
RUDNIKI,kobiety,3,5
RUDNIKI,mężczyźni,3,9
SIEDLCE,kobiety,3,52
SIEDLCE,mężczyźni,3,76
STOGI,kobiety,3,42
STOGI,mężczyźni,3,51
STRZYŻA,kobiety,3,26
STRZYŻA,mężczyźni,3,27
SUCHANINO,kobiety,3,34
SUCHANINO,mężczyźni,3,39
ŚRÓDMIEŚCIE,kobiety,3,95
ŚRÓDMIEŚCIE,mężczyźni,3,88
UJEŚCISKO-ŁOSTOWICE,kobiety,3,221
UJEŚCISKO-ŁOSTOWICE,mężczyźni,3,217
VII DWÓR,kobiety,3,9
VII DWÓR,mężczyźni,3,15
WRZESZCZ DOLNY,kobiety,3,95
WRZESZCZ DOLNY,mężczyźni,3,114
WRZESZCZ GÓRNY,kobiety,3,101
WRZESZCZ GÓRNY,mężczyźni,3,105
WYSPA SOBIESZEWSKA,kobiety,3,12
WYSPA SOBIESZEWSKA,mężczyźni,3,13
WZGÓRZE MICKIEWICZA,kobiety,3,12
WZGÓRZE MICKIEWICZA,mężczyźni,3,8
ZASPA MŁYNIEC,kobiety,3,52
ZASPA MŁYNIEC,mężczyźni,3,57
ZASPA ROZSTAJE,kobiety,3,65
ZASPA ROZSTAJE,mężczyźni,3,47
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,3,57
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,3,58
GDAŃSK,kobiety,3,2202
GDAŃSK,mężczyźni,3,2397
ANIOŁKI,kobiety,4,19
ANIOŁKI,mężczyźni,4,24
BRĘTOWO,kobiety,4,36
BRĘTOWO,mężczyźni,4,31
BRZEŹNO,kobiety,4,52
BRZEŹNO,mężczyźni,4,49
CHEŁM,kobiety,4,341
CHEŁM,mężczyźni,4,349
JASIEŃ,kobiety,4,157
JASIEŃ,mężczyźni,4,198
KOKOSZKI,kobiety,4,69
KOKOSZKI,mężczyźni,4,72
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,4,14
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,4,12
LETNICA,kobiety,4,8
LETNICA,mężczyźni,4,13
MATARNIA,kobiety,4,30
MATARNIA,mężczyźni,4,31
MŁYNISKA,kobiety,4,15
MŁYNISKA,mężczyźni,4,15
NOWY PORT,kobiety,4,44
NOWY PORT,mężczyźni,4,47
OLIWA,kobiety,4,66
OLIWA,mężczyźni,4,61
OLSZYNKA,kobiety,4,15
OLSZYNKA,mężczyźni,4,8
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,4,75
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,4,62
OSOWA,kobiety,4,114
OSOWA,mężczyźni,4,114
PIECKIIGOWO,kobiety,4,205
PIECKIIGOWO,mężczyźni,4,185
PRZERÓBKA,kobiety,4,12
PRZERÓBKA,mężczyźni,4,17
PRZYMORZE MAŁE,kobiety,4,69
PRZYMORZE MAŁE,mężczyźni,4,68
PRZYMORZE WIELKIE,kobiety,4,94
PRZYMORZE WIELKIE,mężczyźni,4,86
RUDNIKI,kobiety,4,7
RUDNIKI,mężczyźni,4,4
SIEDLCE,kobiety,4,50
SIEDLCE,mężczyźni,4,63
STOGI,kobiety,4,40
STOGI,mężczyźni,4,55
STRZYŻA,kobiety,4,27
STRZYŻA,mężczyźni,4,25
SUCHANINO,kobiety,4,51
SUCHANINO,mężczyźni,4,45
ŚRÓDMIEŚCIE,kobiety,4,100
ŚRÓDMIEŚCIE,mężczyźni,4,111
UJEŚCISKO-ŁOSTOWICE,kobiety,4,188
UJEŚCISKO-ŁOSTOWICE,mężczyźni,4,227
VII DWÓR,kobiety,4,16
VII DWÓR,mężczyźni,4,15
WRZESZCZ DOLNY,kobiety,4,102
WRZESZCZ DOLNY,mężczyźni,4,103
WRZESZCZ GÓRNY,kobiety,4,101
WRZESZCZ GÓRNY,mężczyźni,4,103
WYSPA SOBIESZEWSKA,kobiety,4,17
WYSPA SOBIESZEWSKA,mężczyźni,4,15
WZGÓRZE MICKIEWICZA,kobiety,4,5
WZGÓRZE MICKIEWICZA,mężczyźni,4,15
ZASPA MŁYNIEC,kobiety,4,53
ZASPA MŁYNIEC,mężczyźni,4,43
ZASPA ROZSTAJE,kobiety,4,52
ZASPA ROZSTAJE,mężczyźni,4,63
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,4,50
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,4,60
GDAŃSK,kobiety,4,2294
GDAŃSK,mężczyźni,4,2389
ANIOŁKI,kobiety,5,26
ANIOŁKI,mężczyźni,5,18
BRĘTOWO,kobiety,5,23
BRĘTOWO,mężczyźni,5,31
BRZEŹNO,kobiety,5,47
BRZEŹNO,mężczyźni,5,48
CHEŁM,kobiety,5,320
CHEŁM,mężczyźni,5,348
JASIEŃ,kobiety,5,142
JASIEŃ,mężczyźni,5,162
KOKOSZKI,kobiety,5,80
KOKOSZKI,mężczyźni,5,73
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,5,14
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,5,8
LETNICA,kobiety,5,9
LETNICA,mężczyźni,5,7
MATARNIA,kobiety,5,22
MATARNIA,mężczyźni,5,33
MŁYNISKA,kobiety,5,6
MŁYNISKA,mężczyźni,5,11
NOWY PORT,kobiety,5,31
NOWY PORT,mężczyźni,5,37
OLIWA,kobiety,5,62
OLIWA,mężczyźni,5,73
OLSZYNKA,kobiety,5,16
OLSZYNKA,mężczyźni,5,15
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,5,58
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,5,67
OSOWA,kobiety,5,73
OSOWA,mężczyźni,5,115
PIECKIIGOWO,kobiety,5,206
PIECKIIGOWO,mężczyźni,5,197
PRZERÓBKA,kobiety,5,16
PRZERÓBKA,mężczyźni,5,17
PRZYMORZE MAŁE,kobiety,5,58
PRZYMORZE MAŁE,mężczyźni,5,71
PRZYMORZE WIELKIE,kobiety,5,103
PRZYMORZE WIELKIE,mężczyźni,5,86
RUDNIKI,kobiety,5,2
RUDNIKI,mężczyźni,5,3
SIEDLCE,kobiety,5,43
SIEDLCE,mężczyźni,5,61
STOGI,kobiety,5,33
STOGI,mężczyźni,5,34
STRZYŻA,kobiety,5,21
STRZYŻA,mężczyźni,5,37
SUCHANINO,kobiety,5,35
SUCHANINO,mężczyźni,5,51
ŚRÓDMIEŚCIE,kobiety,5,86
ŚRÓDMIEŚCIE,mężczyźni,5,101
UJEŚCISKO-ŁOSTOWICE,kobiety,5,202
UJEŚCISKO-ŁOSTOWICE,mężczyźni,5,212
VII DWÓR,kobiety,5,13
VII DWÓR,mężczyźni,5,14
WRZESZCZ DOLNY,kobiety,5,97
WRZESZCZ DOLNY,mężczyźni,5,113
WRZESZCZ GÓRNY,kobiety,5,99
WRZESZCZ GÓRNY,mężczyźni,5,103
WYSPA SOBIESZEWSKA,kobiety,5,12
WYSPA SOBIESZEWSKA,mężczyźni,5,23
WZGÓRZE MICKIEWICZA,kobiety,5,9
WZGÓRZE MICKIEWICZA,mężczyźni,5,12
ZASPA MŁYNIEC,kobiety,5,57
ZASPA MŁYNIEC,mężczyźni,5,43
ZASPA ROZSTAJE,kobiety,5,44
ZASPA ROZSTAJE,mężczyźni,5,44
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,5,50
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,5,61
GDAŃSK,kobiety,5,2115
GDAŃSK,mężczyźni,5,2329
ANIOŁKI,kobiety,6,21
ANIOŁKI,mężczyźni,6,24
BRĘTOWO,kobiety,6,28
BRĘTOWO,mężczyźni,6,30
BRZEŹNO,kobiety,6,54
BRZEŹNO,mężczyźni,6,52
CHEŁM,kobiety,6,327
CHEŁM,mężczyźni,6,353
JASIEŃ,kobiety,6,128
JASIEŃ,mężczyźni,6,162
KOKOSZKI,kobiety,6,97
KOKOSZKI,mężczyźni,6,65
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,6,8
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,6,4
LETNICA,kobiety,6,5
LETNICA,mężczyźni,6,7
MATARNIA,kobiety,6,35
MATARNIA,mężczyźni,6,26
MŁYNISKA,kobiety,6,8
MŁYNISKA,mężczyźni,6,8
NOWY PORT,kobiety,6,40
NOWY PORT,mężczyźni,6,45
OLIWA,kobiety,6,68
OLIWA,mężczyźni,6,62
OLSZYNKA,kobiety,6,21
OLSZYNKA,mężczyźni,6,20
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,6,59
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,6,64
OSOWA,kobiety,6,99
OSOWA,mężczyźni,6,124
PIECKIIGOWO,kobiety,6,176
PIECKIIGOWO,mężczyźni,6,179
PRZERÓBKA,kobiety,6,12
PRZERÓBKA,mężczyźni,6,20
PRZYMORZE MAŁE,kobiety,6,50
PRZYMORZE MAŁE,mężczyźni,6,62
PRZYMORZE WIELKIE,kobiety,6,78
PRZYMORZE WIELKIE,mężczyźni,6,108
RUDNIKI,kobiety,6,6
RUDNIKI,mężczyźni,6,7
SIEDLCE,kobiety,6,60
SIEDLCE,mężczyźni,6,54
STOGI,kobiety,6,44
STOGI,mężczyźni,6,42
STRZYŻA,kobiety,6,27
STRZYŻA,mężczyźni,6,22
SUCHANINO,kobiety,6,39
SUCHANINO,mężczyźni,6,41
ŚRÓDMIEŚCIE,kobiety,6,113
ŚRÓDMIEŚCIE,mężczyźni,6,103
UJEŚCISKO-ŁOSTOWICE,kobiety,6,218
UJEŚCISKO-ŁOSTOWICE,mężczyźni,6,205
VII DWÓR,kobiety,6,10
VII DWÓR,mężczyźni,6,16
WRZESZCZ DOLNY,kobiety,6,97
WRZESZCZ DOLNY,mężczyźni,6,93
WRZESZCZ GÓRNY,kobiety,6,90
WRZESZCZ GÓRNY,mężczyźni,6,101
WYSPA SOBIESZEWSKA,kobiety,6,18
WYSPA SOBIESZEWSKA,mężczyźni,6,15
WZGÓRZE MICKIEWICZA,kobiety,6,8
WZGÓRZE MICKIEWICZA,mężczyźni,6,10
ZASPA MŁYNIEC,kobiety,6,50
ZASPA MŁYNIEC,mężczyźni,6,68
ZASPA ROZSTAJE,kobiety,6,50
ZASPA ROZSTAJE,mężczyźni,6,61
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,6,63
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,6,53
GDAŃSK,kobiety,6,2207
GDAŃSK,mężczyźni,6,2306
ANIOŁKI,kobiety,7,21
ANIOŁKI,mężczyźni,7,20
BRĘTOWO,kobiety,7,36
BRĘTOWO,mężczyźni,7,43
BRZEŹNO,kobiety,7,42
BRZEŹNO,mężczyźni,7,44
CHEŁM,kobiety,7,329
CHEŁM,mężczyźni,7,384
JASIEŃ,kobiety,7,125
JASIEŃ,mężczyźni,7,141
KOKOSZKI,kobiety,7,70
KOKOSZKI,mężczyźni,7,65
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,7,9
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,7,21
LETNICA,kobiety,7,3
LETNICA,mężczyźni,7,6
MATARNIA,kobiety,7,32
MATARNIA,mężczyźni,7,33
MŁYNISKA,kobiety,7,13
MŁYNISKA,mężczyźni,7,20
NOWY PORT,kobiety,7,30
NOWY PORT,mężczyźni,7,45
OLIWA,kobiety,7,67
OLIWA,mężczyźni,7,68
OLSZYNKA,kobiety,7,14
OLSZYNKA,mężczyźni,7,17
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,7,69
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,7,65
OSOWA,kobiety,7,104
OSOWA,mężczyźni,7,110
PIECKIIGOWO,kobiety,7,164
PIECKIIGOWO,mężczyźni,7,187
PRZERÓBKA,kobiety,7,12
PRZERÓBKA,mężczyźni,7,17
PRZYMORZE MAŁE,kobiety,7,56
PRZYMORZE MAŁE,mężczyźni,7,56
PRZYMORZE WIELKIE,kobiety,7,113
PRZYMORZE WIELKIE,mężczyźni,7,101
RUDNIKI,kobiety,7,4
RUDNIKI,mężczyźni,7,6
SIEDLCE,kobiety,7,60
SIEDLCE,mężczyźni,7,79
STOGI,kobiety,7,38
STOGI,mężczyźni,7,40
STRZYŻA,kobiety,7,28
STRZYŻA,mężczyźni,7,29
SUCHANINO,kobiety,7,44
SUCHANINO,mężczyźni,7,47
ŚRÓDMIEŚCIE,kobiety,7,78
ŚRÓDMIEŚCIE,mężczyźni,7,112
UJEŚCISKO-ŁOSTOWICE,kobiety,7,204
UJEŚCISKO-ŁOSTOWICE,mężczyźni,7,197
VII DWÓR,kobiety,7,14
VII DWÓR,mężczyźni,7,18
WRZESZCZ DOLNY,kobiety,7,93
WRZESZCZ DOLNY,mężczyźni,7,95
WRZESZCZ GÓRNY,kobiety,7,86
WRZESZCZ GÓRNY,mężczyźni,7,92
WYSPA SOBIESZEWSKA,kobiety,7,21
WYSPA SOBIESZEWSKA,mężczyźni,7,19
WZGÓRZE MICKIEWICZA,kobiety,7,9
WZGÓRZE MICKIEWICZA,mężczyźni,7,10
ZASPA MŁYNIEC,kobiety,7,50
ZASPA MŁYNIEC,mężczyźni,7,43
ZASPA ROZSTAJE,kobiety,7,54
ZASPA ROZSTAJE,mężczyźni,7,45
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,7,60
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,7,57
GDAŃSK,kobiety,7,2152
GDAŃSK,mężczyźni,7,2332
ANIOŁKI,kobiety,8,20
ANIOŁKI,mężczyźni,8,26
BRĘTOWO,kobiety,8,37
BRĘTOWO,mężczyźni,8,47
BRZEŹNO,kobiety,8,47
BRZEŹNO,mężczyźni,8,48
CHEŁM,kobiety,8,333
CHEŁM,mężczyźni,8,373
JASIEŃ,kobiety,8,134
JASIEŃ,mężczyźni,8,126
KOKOSZKI,kobiety,8,74
KOKOSZKI,mężczyźni,8,88
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,8,10
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,8,12
LETNICA,kobiety,8,8
LETNICA,mężczyźni,8,7
MATARNIA,kobiety,8,29
MATARNIA,mężczyźni,8,35
MŁYNISKA,kobiety,8,10
MŁYNISKA,mężczyźni,8,9
NOWY PORT,kobiety,8,49
NOWY PORT,mężczyźni,8,54
OLIWA,kobiety,8,72
OLIWA,mężczyźni,8,65
OLSZYNKA,kobiety,8,17
OLSZYNKA,mężczyźni,8,15
