Lokalizacja,Płeć,Wiek,Populacja
LETNICA,mężczyźni,25,9
MATARNIA,kobiety,25,37
MATARNIA,mężczyźni,25,35
MŁYNISKA,kobiety,25,14
MŁYNISKA,mężczyźni,25,16
NOWY PORT,kobiety,25,67
NOWY PORT,mężczyźni,25,44
OLIWA,kobiety,25,71
OLIWA,mężczyźni,25,80
OLSZYNKA,kobiety,25,21
OLSZYNKA,mężczyźni,25,17
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,25,84
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,25,100
OSOWA,kobiety,25,88
OSOWA,mężczyźni,25,96
PIECKIIGOWO,kobiety,25,105
PIECKIIGOWO,mężczyźni,25,98
PRZERÓBKA,kobiety,25,25
PRZERÓBKA,mężczyźni,25,28
PRZYMORZE MAŁE,kobiety,25,75
PRZYMORZE MAŁE,mężczyźni,25,73
PRZYMORZE WIELKIE,kobiety,25,125
PRZYMORZE WIELKIE,mężczyźni,25,112
RUDNIKI,kobiety,25,9
RUDNIKI,mężczyźni,25,8
SIEDLCE,kobiety,25,72
SIEDLCE,mężczyźni,25,79
STOGI,kobiety,25,60
STOGI,mężczyźni,25,53
STRZYŻA,kobiety,25,20
STRZYŻA,mężczyźni,25,20
SUCHANINO,kobiety,25,53
SUCHANINO,mężczyźni,25,50
ŚRÓDMIEŚCIE,kobiety,25,153
ŚRÓDMIEŚCIE,mężczyźni,25,167
UJEŚCISKO-ŁOSTOWICE,kobiety,25,118
UJEŚCISKO-ŁOSTOWICE,mężczyźni,25,120
VII DWÓR,kobiety,25,14
VII DWÓR,mężczyźni,25,24
WRZESZCZ DOLNY,kobiety,25,138
WRZESZCZ DOLNY,mężczyźni,25,120
WRZESZCZ GÓRNY,kobiety,25,121
WRZESZCZ GÓRNY,mężczyźni,25,127
WYSPA SOBIESZEWSKA,kobiety,25,19
WYSPA SOBIESZEWSKA,mężczyźni,25,16
WZGÓRZE MICKIEWICZA,kobiety,25,17
WZGÓRZE MICKIEWICZA,mężczyźni,25,8
ZASPA MŁYNIEC,kobiety,25,47
ZASPA MŁYNIEC,mężczyźni,25,50
ZASPA ROZSTAJE,kobiety,25,48
ZASPA ROZSTAJE,mężczyźni,25,58
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,25,66
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,25,75
GDAŃSK,kobiety,25,2249
GDAŃSK,mężczyźni,25,2183
ANIOŁKI,kobiety,26,28
ANIOŁKI,mężczyźni,26,27
BRĘTOWO,kobiety,26,37
BRĘTOWO,mężczyźni,26,32
BRZEŹNO,kobiety,26,68
BRZEŹNO,mężczyźni,26,65
CHEŁM,kobiety,26,270
CHEŁM,mężczyźni,26,222
JASIEŃ,kobiety,26,120
JASIEŃ,mężczyźni,26,89
KOKOSZKI,kobiety,26,48
KOKOSZKI,mężczyźni,26,56
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,26,8
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,26,6
LETNICA,kobiety,26,5
LETNICA,mężczyźni,26,12
MATARNIA,kobiety,26,47
MATARNIA,mężczyźni,26,49
MŁYNISKA,kobiety,26,20
MŁYNISKA,mężczyźni,26,20
NOWY PORT,kobiety,26,52
NOWY PORT,mężczyźni,26,47
OLIWA,kobiety,26,73
OLIWA,mężczyźni,26,74
OLSZYNKA,kobiety,26,26
OLSZYNKA,mężczyźni,26,24
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,26,91
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,26,90
OSOWA,kobiety,26,67
OSOWA,mężczyźni,26,85
PIECKIIGOWO,kobiety,26,130
PIECKIIGOWO,mężczyźni,26,112
PRZERÓBKA,kobiety,26,25
PRZERÓBKA,mężczyźni,26,21
PRZYMORZE MAŁE,kobiety,26,78
PRZYMORZE MAŁE,mężczyźni,26,84
PRZYMORZE WIELKIE,kobiety,26,122
PRZYMORZE WIELKIE,mężczyźni,26,130
RUDNIKI,kobiety,26,7
RUDNIKI,mężczyźni,26,9
SIEDLCE,kobiety,26,73
SIEDLCE,mężczyźni,26,79
STOGI,kobiety,26,68
STOGI,mężczyźni,26,64
STRZYŻA,kobiety,26,28
STRZYŻA,mężczyźni,26,20
SUCHANINO,kobiety,26,63
SUCHANINO,mężczyźni,26,46
ŚRÓDMIEŚCIE,kobiety,26,142
ŚRÓDMIEŚCIE,mężczyźni,26,154
UJEŚCISKO-ŁOSTOWICE,kobiety,26,126
UJEŚCISKO-ŁOSTOWICE,mężczyźni,26,136
VII DWÓR,kobiety,26,19
VII DWÓR,mężczyźni,26,16
WRZESZCZ DOLNY,kobiety,26,118
WRZESZCZ DOLNY,mężczyźni,26,107
WRZESZCZ GÓRNY,kobiety,26,172
WRZESZCZ GÓRNY,mężczyźni,26,127
WYSPA SOBIESZEWSKA,kobiety,26,13
WYSPA SOBIESZEWSKA,mężczyźni,26,20
WZGÓRZE MICKIEWICZA,kobiety,26,22
WZGÓRZE MICKIEWICZA,mężczyźni,26,14
ZASPA MŁYNIEC,kobiety,26,50
ZASPA MŁYNIEC,mężczyźni,26,51
ZASPA ROZSTAJE,kobiety,26,63
ZASPA ROZSTAJE,mężczyźni,26,74
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,26,85
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,26,78
GDAŃSK,kobiety,26,2364
GDAŃSK,mężczyźni,26,2240
ANIOŁKI,kobiety,27,31
ANIOŁKI,mężczyźni,27,40
BRĘTOWO,kobiety,27,41
BRĘTOWO,mężczyźni,27,45
BRZEŹNO,kobiety,27,77
BRZEŹNO,mężczyźni,27,80
CHEŁM,kobiety,27,315
CHEŁM,mężczyźni,27,300
JASIEŃ,kobiety,27,135
JASIEŃ,mężczyźni,27,124
KOKOSZKI,kobiety,27,44
KOKOSZKI,mężczyźni,27,58
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,27,6
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,27,13
LETNICA,kobiety,27,5
LETNICA,mężczyźni,27,8
MATARNIA,kobiety,27,55
MATARNIA,mężczyźni,27,50
MŁYNISKA,kobiety,27,18
MŁYNISKA,mężczyźni,27,25
NOWY PORT,kobiety,27,60
NOWY PORT,mężczyźni,27,50
OLIWA,kobiety,27,88
OLIWA,mężczyźni,27,102
OLSZYNKA,kobiety,27,24
OLSZYNKA,mężczyźni,27,23
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,27,88
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,27,105
OSOWA,kobiety,27,86
OSOWA,mężczyźni,27,88
PIECKIIGOWO,kobiety,27,157
PIECKIIGOWO,mężczyźni,27,119
PRZERÓBKA,kobiety,27,21
PRZERÓBKA,mężczyźni,27,24
PRZYMORZE MAŁE,kobiety,27,80
PRZYMORZE MAŁE,mężczyźni,27,92
PRZYMORZE WIELKIE,kobiety,27,153
PRZYMORZE WIELKIE,mężczyźni,27,143
RUDNIKI,kobiety,27,19
RUDNIKI,mężczyźni,27,6
SIEDLCE,kobiety,27,106
SIEDLCE,mężczyźni,27,73
STOGI,kobiety,27,74
STOGI,mężczyźni,27,72
STRZYŻA,kobiety,27,33
STRZYŻA,mężczyźni,27,32
SUCHANINO,kobiety,27,75
SUCHANINO,mężczyźni,27,57
ŚRÓDMIEŚCIE,kobiety,27,170
ŚRÓDMIEŚCIE,mężczyźni,27,184
UJEŚCISKO-ŁOSTOWICE,kobiety,27,151
UJEŚCISKO-ŁOSTOWICE,mężczyźni,27,130
VII DWÓR,kobiety,27,14
VII DWÓR,mężczyźni,27,23
WRZESZCZ DOLNY,kobiety,27,177
WRZESZCZ DOLNY,mężczyźni,27,144
WRZESZCZ GÓRNY,kobiety,27,149
WRZESZCZ GÓRNY,mężczyźni,27,147
WYSPA SOBIESZEWSKA,kobiety,27,16
WYSPA SOBIESZEWSKA,mężczyźni,27,27
WZGÓRZE MICKIEWICZA,kobiety,27,17
WZGÓRZE MICKIEWICZA,mężczyźni,27,15
ZASPA MŁYNIEC,kobiety,27,66
ZASPA MŁYNIEC,mężczyźni,27,57
ZASPA ROZSTAJE,kobiety,27,77
ZASPA ROZSTAJE,mężczyźni,27,60
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,27,77
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,27,93
GDAŃSK,kobiety,27,2705
GDAŃSK,mężczyźni,27,2609
ANIOŁKI,kobiety,28,25
ANIOŁKI,mężczyźni,28,33
BRĘTOWO,kobiety,28,39
BRĘTOWO,mężczyźni,28,37
BRZEŹNO,kobiety,28,68
BRZEŹNO,mężczyźni,28,90
CHEŁM,kobiety,28,357
CHEŁM,mężczyźni,28,295
JASIEŃ,kobiety,28,181
JASIEŃ,mężczyźni,28,125
KOKOSZKI,kobiety,28,63
KOKOSZKI,mężczyźni,28,61
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,28,13
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,28,10
LETNICA,kobiety,28,11
LETNICA,mężczyźni,28,6
MATARNIA,kobiety,28,70
MATARNIA,mężczyźni,28,51
MŁYNISKA,kobiety,28,20
MŁYNISKA,mężczyźni,28,14
NOWY PORT,kobiety,28,56
NOWY PORT,mężczyźni,28,62
OLIWA,kobiety,28,96
OLIWA,mężczyźni,28,87
OLSZYNKA,kobiety,28,24
OLSZYNKA,mężczyźni,28,22
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,28,119
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,28,101
OSOWA,kobiety,28,113
OSOWA,mężczyźni,28,88
PIECKIIGOWO,kobiety,28,188
PIECKIIGOWO,mężczyźni,28,185
PRZERÓBKA,kobiety,28,21
PRZERÓBKA,mężczyźni,28,38
PRZYMORZE MAŁE,kobiety,28,92
PRZYMORZE MAŁE,mężczyźni,28,95
PRZYMORZE WIELKIE,kobiety,28,143
PRZYMORZE WIELKIE,mężczyźni,28,157
RUDNIKI,kobiety,28,6
RUDNIKI,mężczyźni,28,5
SIEDLCE,kobiety,28,79
SIEDLCE,mężczyźni,28,82
STOGI,kobiety,28,67
STOGI,mężczyźni,28,83
STRZYŻA,kobiety,28,35
STRZYŻA,mężczyźni,28,33
SUCHANINO,kobiety,28,63
SUCHANINO,mężczyźni,28,67
ŚRÓDMIEŚCIE,kobiety,28,160
ŚRÓDMIEŚCIE,mężczyźni,28,166
UJEŚCISKO-ŁOSTOWICE,kobiety,28,170
UJEŚCISKO-ŁOSTOWICE,mężczyźni,28,167
VII DWÓR,kobiety,28,20
VII DWÓR,mężczyźni,28,20
WRZESZCZ DOLNY,kobiety,28,157
WRZESZCZ DOLNY,mężczyźni,28,143
WRZESZCZ GÓRNY,kobiety,28,149
WRZESZCZ GÓRNY,mężczyźni,28,126
WYSPA SOBIESZEWSKA,kobiety,28,17
WYSPA SOBIESZEWSKA,mężczyźni,28,14
WZGÓRZE MICKIEWICZA,kobiety,28,17
WZGÓRZE MICKIEWICZA,mężczyźni,28,21
ZASPA MŁYNIEC,kobiety,28,60
ZASPA MŁYNIEC,mężczyźni,28,52
ZASPA ROZSTAJE,kobiety,28,73
ZASPA ROZSTAJE,mężczyźni,28,51
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,28,99
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,28,87
GDAŃSK,kobiety,28,2871
GDAŃSK,mężczyźni,28,2674
ANIOŁKI,kobiety,29,33
ANIOŁKI,mężczyźni,29,29
BRĘTOWO,kobiety,29,53
BRĘTOWO,mężczyźni,29,43
BRZEŹNO,kobiety,29,93
BRZEŹNO,mężczyźni,29,90
CHEŁM,kobiety,29,389
CHEŁM,mężczyźni,29,311
JASIEŃ,kobiety,29,216
JASIEŃ,mężczyźni,29,154
KOKOSZKI,kobiety,29,71
KOKOSZKI,mężczyźni,29,67
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,29,13
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,29,17
LETNICA,kobiety,29,4
LETNICA,mężczyźni,29,16
MATARNIA,kobiety,29,58
MATARNIA,mężczyźni,29,66
MŁYNISKA,kobiety,29,17
MŁYNISKA,mężczyźni,29,19
NOWY PORT,kobiety,29,53
NOWY PORT,mężczyźni,29,71
OLIWA,kobiety,29,80
OLIWA,mężczyźni,29,99
OLSZYNKA,kobiety,29,30
OLSZYNKA,mężczyźni,29,18
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,29,102
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,29,97
OSOWA,kobiety,29,93
OSOWA,mężczyźni,29,101
PIECKIIGOWO,kobiety,29,187
PIECKIIGOWO,mężczyźni,29,173
PRZERÓBKA,kobiety,29,26
PRZERÓBKA,mężczyźni,29,24
PRZYMORZE MAŁE,kobiety,29,96
PRZYMORZE MAŁE,mężczyźni,29,75
PRZYMORZE WIELKIE,kobiety,29,161
PRZYMORZE WIELKIE,mężczyźni,29,145
RUDNIKI,kobiety,29,8
RUDNIKI,mężczyźni,29,6
SIEDLCE,kobiety,29,95
SIEDLCE,mężczyźni,29,80
STOGI,kobiety,29,71
STOGI,mężczyźni,29,55
STRZYŻA,kobiety,29,30
STRZYŻA,mężczyźni,29,39
SUCHANINO,kobiety,29,59
SUCHANINO,mężczyźni,29,84
ŚRÓDMIEŚCIE,kobiety,29,174
ŚRÓDMIEŚCIE,mężczyźni,29,165
UJEŚCISKO-ŁOSTOWICE,kobiety,29,224
UJEŚCISKO-ŁOSTOWICE,mężczyźni,29,167
VII DWÓR,kobiety,29,31
VII DWÓR,mężczyźni,29,21
WRZESZCZ DOLNY,kobiety,29,149
WRZESZCZ DOLNY,mężczyźni,29,146
WRZESZCZ GÓRNY,kobiety,29,154
WRZESZCZ GÓRNY,mężczyźni,29,153
WYSPA SOBIESZEWSKA,kobiety,29,26
WYSPA SOBIESZEWSKA,mężczyźni,29,25
WZGÓRZE MICKIEWICZA,kobiety,29,17
WZGÓRZE MICKIEWICZA,mężczyźni,29,16
ZASPA MŁYNIEC,kobiety,29,58
ZASPA MŁYNIEC,mężczyźni,29,55
ZASPA ROZSTAJE,kobiety,29,86
ZASPA ROZSTAJE,mężczyźni,29,60
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,29,90
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,29,88
GDAŃSK,kobiety,29,3047
GDAŃSK,mężczyźni,29,2775
ANIOŁKI,kobiety,30,35
ANIOŁKI,mężczyźni,30,31
BRĘTOWO,kobiety,30,38
BRĘTOWO,mężczyźni,30,43
BRZEŹNO,kobiety,30,69
BRZEŹNO,mężczyźni,30,82
CHEŁM,kobiety,30,401
CHEŁM,mężczyźni,30,310
JASIEŃ,kobiety,30,220
JASIEŃ,mężczyźni,30,160
KOKOSZKI,kobiety,30,73
KOKOSZKI,mężczyźni,30,56
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,30,9
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,30,11
LETNICA,kobiety,30,6
LETNICA,mężczyźni,30,7
MATARNIA,kobiety,30,54
MATARNIA,mężczyźni,30,54
MŁYNISKA,kobiety,30,16
MŁYNISKA,mężczyźni,30,15
NOWY PORT,kobiety,30,57
NOWY PORT,mężczyźni,30,57
OLIWA,kobiety,30,112
OLIWA,mężczyźni,30,103
OLSZYNKA,kobiety,30,17
OLSZYNKA,mężczyźni,30,22
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,30,104
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,30,82
OSOWA,kobiety,30,106
OSOWA,mężczyźni,30,89
PIECKIIGOWO,kobiety,30,260
PIECKIIGOWO,mężczyźni,30,208
PRZERÓBKA,kobiety,30,20
PRZERÓBKA,mężczyźni,30,29
PRZYMORZE MAŁE,kobiety,30,95
PRZYMORZE MAŁE,mężczyźni,30,108
PRZYMORZE WIELKIE,kobiety,30,143
PRZYMORZE WIELKIE,mężczyźni,30,152
RUDNIKI,kobiety,30,6
RUDNIKI,mężczyźni,30,9
SIEDLCE,kobiety,30,83
SIEDLCE,mężczyźni,30,89
STOGI,kobiety,30,67
STOGI,mężczyźni,30,85
STRZYŻA,kobiety,30,31
STRZYŻA,mężczyźni,30,30
SUCHANINO,kobiety,30,59
SUCHANINO,mężczyźni,30,69
ŚRÓDMIEŚCIE,kobiety,30,181
ŚRÓDMIEŚCIE,mężczyźni,30,148
UJEŚCISKO-ŁOSTOWICE,kobiety,30,251
UJEŚCISKO-ŁOSTOWICE,mężczyźni,30,162
VII DWÓR,kobiety,30,32
VII DWÓR,mężczyźni,30,25
WRZESZCZ DOLNY,kobiety,30,171
WRZESZCZ DOLNY,mężczyźni,30,168
WRZESZCZ GÓRNY,kobiety,30,159
WRZESZCZ GÓRNY,mężczyźni,30,165
WYSPA SOBIESZEWSKA,kobiety,30,29
WYSPA SOBIESZEWSKA,mężczyźni,30,26
WZGÓRZE MICKIEWICZA,kobiety,30,13
WZGÓRZE MICKIEWICZA,mężczyźni,30,12
ZASPA MŁYNIEC,kobiety,30,63
ZASPA MŁYNIEC,mężczyźni,30,74
ZASPA ROZSTAJE,kobiety,30,81
ZASPA ROZSTAJE,mężczyźni,30,81
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,30,90
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,30,82
GDAŃSK,kobiety,30,3151
GDAŃSK,mężczyźni,30,2844
ANIOŁKI,kobiety,31,44
ANIOŁKI,mężczyźni,31,32
BRĘTOWO,kobiety,31,60
BRĘTOWO,mężczyźni,31,47
BRZEŹNO,kobiety,31,77
BRZEŹNO,mężczyźni,31,81
CHEŁM,kobiety,31,430
CHEŁM,mężczyźni,31,361
JASIEŃ,kobiety,31,241
JASIEŃ,mężczyźni,31,191
KOKOSZKI,kobiety,31,72
KOKOSZKI,mężczyźni,31,68
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,31,10
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,31,18
LETNICA,kobiety,31,3
LETNICA,mężczyźni,31,8
MATARNIA,kobiety,31,62
MATARNIA,mężczyźni,31,48
MŁYNISKA,kobiety,31,18
MŁYNISKA,mężczyźni,31,28
NOWY PORT,kobiety,31,58
NOWY PORT,mężczyźni,31,66
OLIWA,kobiety,31,103
OLIWA,mężczyźni,31,109
OLSZYNKA,kobiety,31,19
OLSZYNKA,mężczyźni,31,20
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,31,113
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,31,128
OSOWA,kobiety,31,122
OSOWA,mężczyźni,31,102
PIECKIIGOWO,kobiety,31,253
PIECKIIGOWO,mężczyźni,31,218
PRZERÓBKA,kobiety,31,26
PRZERÓBKA,mężczyźni,31,22
PRZYMORZE MAŁE,kobiety,31,104
PRZYMORZE MAŁE,mężczyźni,31,91
PRZYMORZE WIELKIE,kobiety,31,159
PRZYMORZE WIELKIE,mężczyźni,31,132
RUDNIKI,kobiety,31,8
RUDNIKI,mężczyźni,31,8
SIEDLCE,kobiety,31,109
SIEDLCE,mężczyźni,31,98
STOGI,kobiety,31,85
STOGI,mężczyźni,31,90
STRZYŻA,kobiety,31,29
STRZYŻA,mężczyźni,31,41
SUCHANINO,kobiety,31,68
SUCHANINO,mężczyźni,31,66
ŚRÓDMIEŚCIE,kobiety,31,146
ŚRÓDMIEŚCIE,mężczyźni,31,182
UJEŚCISKO-ŁOSTOWICE,kobiety,31,242
UJEŚCISKO-ŁOSTOWICE,mężczyźni,31,176
VII DWÓR,kobiety,31,15
VII DWÓR,mężczyźni,31,19
WRZESZCZ DOLNY,kobiety,31,203
WRZESZCZ DOLNY,mężczyźni,31,150
WRZESZCZ GÓRNY,kobiety,31,151
WRZESZCZ GÓRNY,mężczyźni,31,159
WYSPA SOBIESZEWSKA,kobiety,31,20
WYSPA SOBIESZEWSKA,mężczyźni,31,19
WZGÓRZE MICKIEWICZA,kobiety,31,20
WZGÓRZE MICKIEWICZA,mężczyźni,31,14
ZASPA MŁYNIEC,kobiety,31,68
ZASPA MŁYNIEC,mężczyźni,31,61
ZASPA ROZSTAJE,kobiety,31,93
ZASPA ROZSTAJE,mężczyźni,31,80
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,31,81
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,31,87
GDAŃSK,kobiety,31,3312
GDAŃSK,mężczyźni,31,3020
ANIOŁKI,kobiety,32,36
ANIOŁKI,mężczyźni,32,34
BRĘTOWO,kobiety,32,46
BRĘTOWO,mężczyźni,32,54
BRZEŹNO,kobiety,32,77
BRZEŹNO,mężczyźni,32,89
CHEŁM,kobiety,32,463
CHEŁM,mężczyźni,32,383
JASIEŃ,kobiety,32,262
JASIEŃ,mężczyźni,32,215
KOKOSZKI,kobiety,32,64
KOKOSZKI,mężczyźni,32,72
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,32,12
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,32,9
LETNICA,kobiety,32,3
LETNICA,mężczyźni,32,10
MATARNIA,kobiety,32,53
MATARNIA,mężczyźni,32,52
MŁYNISKA,kobiety,32,23
MŁYNISKA,mężczyźni,32,26
NOWY PORT,kobiety,32,76
NOWY PORT,mężczyźni,32,60
OLIWA,kobiety,32,108
OLIWA,mężczyźni,32,104
OLSZYNKA,kobiety,32,15
OLSZYNKA,mężczyźni,32,18
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,32,106
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,32,112
OSOWA,kobiety,32,112
OSOWA,mężczyźni,32,99
PIECKIIGOWO,kobiety,32,270
PIECKIIGOWO,mężczyźni,32,272
PRZERÓBKA,kobiety,32,34
PRZERÓBKA,mężczyźni,32,31
PRZYMORZE MAŁE,kobiety,32,101
PRZYMORZE MAŁE,mężczyźni,32,113
PRZYMORZE WIELKIE,kobiety,32,167
PRZYMORZE WIELKIE,mężczyźni,32,151
RUDNIKI,kobiety,32,9
RUDNIKI,mężczyźni,32,7
SIEDLCE,kobiety,32,96
SIEDLCE,mężczyźni,32,104
STOGI,kobiety,32,84
STOGI,mężczyźni,32,79
STRZYŻA,kobiety,32,44
STRZYŻA,mężczyźni,32,31
SUCHANINO,kobiety,32,71
SUCHANINO,mężczyźni,32,71
ŚRÓDMIEŚCIE,kobiety,32,178
ŚRÓDMIEŚCIE,mężczyźni,32,196
UJEŚCISKO-ŁOSTOWICE,kobiety,32,263
UJEŚCISKO-ŁOSTOWICE,mężczyźni,32,210
VII DWÓR,kobiety,32,27
VII DWÓR,mężczyźni,32,17
WRZESZCZ DOLNY,kobiety,32,182
WRZESZCZ DOLNY,mężczyźni,32,207
WRZESZCZ GÓRNY,kobiety,32,178
WRZESZCZ GÓRNY,mężczyźni,32,180
WYSPA SOBIESZEWSKA,kobiety,32,28
WYSPA SOBIESZEWSKA,mężczyźni,32,18
WZGÓRZE MICKIEWICZA,kobiety,32,21
WZGÓRZE MICKIEWICZA,mężczyźni,32,20
ZASPA MŁYNIEC,kobiety,32,99
ZASPA MŁYNIEC,mężczyźni,32,61
ZASPA ROZSTAJE,kobiety,32,87
ZASPA ROZSTAJE,mężczyźni,32,90
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,32,82
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,32,79
GDAŃSK,kobiety,32,3477
GDAŃSK,mężczyźni,32,3274
ANIOŁKI,kobiety,33,41
ANIOŁKI,mężczyźni,33,43
BRĘTOWO,kobiety,33,47
BRĘTOWO,mężczyźni,33,54
BRZEŹNO,kobiety,33,80
BRZEŹNO,mężczyźni,33,86
CHEŁM,kobiety,33,591
CHEŁM,mężczyźni,33,442
JASIEŃ,kobiety,33,260
JASIEŃ,mężczyźni,33,242
KOKOSZKI,kobiety,33,81
KOKOSZKI,mężczyźni,33,61
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,33,18
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,33,21
LETNICA,kobiety,33,15
LETNICA,mężczyźni,33,12
MATARNIA,kobiety,33,48
MATARNIA,mężczyźni,33,61
MŁYNISKA,kobiety,33,21
MŁYNISKA,mężczyźni,33,16
NOWY PORT,kobiety,33,79
NOWY PORT,mężczyźni,33,65
OLIWA,kobiety,33,134
OLIWA,mężczyźni,33,105
OLSZYNKA,kobiety,33,24
OLSZYNKA,mężczyźni,33,22
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,33,97
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,33,118
OSOWA,kobiety,33,149
OSOWA,mężczyźni,33,130
PIECKIIGOWO,kobiety,33,301
PIECKIIGOWO,mężczyźni,33,260
PRZERÓBKA,kobiety,33,35
PRZERÓBKA,mężczyźni,33,38
PRZYMORZE MAŁE,kobiety,33,127
PRZYMORZE MAŁE,mężczyźni,33,139
PRZYMORZE WIELKIE,kobiety,33,187
PRZYMORZE WIELKIE,mężczyźni,33,153
RUDNIKI,kobiety,33,11
RUDNIKI,mężczyźni,33,12
SIEDLCE,kobiety,33,112
SIEDLCE,mężczyźni,33,96
STOGI,kobiety,33,66
STOGI,mężczyźni,33,70
STRZYŻA,kobiety,33,44
STRZYŻA,mężczyźni,33,31
SUCHANINO,kobiety,33,80
SUCHANINO,mężczyźni,33,69
ŚRÓDMIEŚCIE,kobiety,33,202
ŚRÓDMIEŚCIE,mężczyźni,33,183
UJEŚCISKO-ŁOSTOWICE,kobiety,33,258
UJEŚCISKO-ŁOSTOWICE,mężczyźni,33,252
VII DWÓR,kobiety,33,23
VII DWÓR,mężczyźni,33,24
WRZESZCZ DOLNY,kobiety,33,194
WRZESZCZ DOLNY,mężczyźni,33,181
WRZESZCZ GÓRNY,kobiety,33,181
WRZESZCZ GÓRNY,mężczyźni,33,175
WYSPA SOBIESZEWSKA,kobiety,33,27
WYSPA SOBIESZEWSKA,mężczyźni,33,21
WZGÓRZE MICKIEWICZA,kobiety,33,17
WZGÓRZE MICKIEWICZA,mężczyźni,33,23
ZASPA MŁYNIEC,kobiety,33,85
ZASPA MŁYNIEC,mężczyźni,33,90
ZASPA ROZSTAJE,kobiety,33,108
ZASPA ROZSTAJE,mężczyźni,33,97
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,33,100
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,33,96
GDAŃSK,kobiety,33,3843
GDAŃSK,mężczyźni,33,3488
ANIOŁKI,kobiety,34,45
ANIOŁKI,mężczyźni,34,48
BRĘTOWO,kobiety,34,56
BRĘTOWO,mężczyźni,34,62
BRZEŹNO,kobiety,34,79
BRZEŹNO,mężczyźni,34,100
CHEŁM,kobiety,34,550
CHEŁM,mężczyźni,34,544
JASIEŃ,kobiety,34,269
JASIEŃ,mężczyźni,34,265
KOKOSZKI,kobiety,34,89
KOKOSZKI,mężczyźni,34,92
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,34,17
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,34,15
LETNICA,kobiety,34,8
LETNICA,mężczyźni,34,9
MATARNIA,kobiety,34,62
MATARNIA,mężczyźni,34,46
MŁYNISKA,kobiety,34,18
